name,category,price,description,inventory,sizes,colors,image_url
Sigma Polo Shirt,apparel,45.00,Classic blue polo with embroidered Phi Beta Sigma crest,25,"S,M,L,XL,2XL","Royal Blue,White",https://images.unsplash.com/photo-1625910513413-5fc45e80fd10?w=400
Sigma T-Shirt,apparel,25.00,Comfortable cotton t-shirt with chapter logo,50,"S,M,L,XL,2XL,3XL","Royal Blue,White,Black",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400
Greek Letter Cap,accessories,20.00,Adjustable cap with Greek letters,30,One Size,"Royal Blue,White",https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=400
Sigma Coffee Mug,drinkware,15.00,Ceramic mug with fraternity seal,40,,White,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=400
Sigma Tumbler,drinkware,28.00,20oz stainless steel tumbler,20,,"Royal Blue,Black",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400
Sigma Hoodie,apparel,55.00,Warm fleece hoodie with embroidered letters,15,"S,M,L,XL,2XL","Royal Blue,Black",https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400
Lanyard with ID Holder,accessories,8.00,Blue and white lanyard,100,One Size,Royal Blue,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=400
Sigma Lapel Pin,accessories,12.00,Gold-plated fraternity pin,75,,Gold,https://images.unsplash.com/photo-1573053986329-3001d5fabf24?w=400
Sigma Backpack,accessories,65.00,Durable backpack with chapter emblem,10,One Size,Royal Blue,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400
Water Bottle,drinkware,18.00,32oz water bottle with sigma logo,35,,"Royal Blue,White,Black",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400
